"","Q1","Q2","Q3","Q4","Question","Response","score"
"243","4250","lion","blue","Male","Q28","Strongly agree",5
"244","4250","lion","blue","Male","Q29","Strongly agree",5
"245","4250","lion","blue","Male","Q31","Strongly agree",5
"246","4250","lion","blue","Male","Q32","Strongly agree",5
"247","4257","Pig","Blue","Female","Q7","Strongly agree",5
"248","4257","Pig","Blue","Female","Q8","Strongly agree",5
"249","4257","Pig","Blue","Female","Q9","Strongly agree",5
"250","4257","Pig","Blue","Female","Q10","Strongly agree",5
"251","4257","Pig","Blue","Female","Q11","Strongly agree",5
"252","4257","Pig","Blue","Female","Q12","Strongly agree",5
"253","4257","Pig","Blue","Female","Q13","Strongly agree",5
"254","4257","Pig","Blue","Female","Q14","Strongly agree",5
"255","4257","Pig","Blue","Female","Q15","Not sure",3
"256","4257","Pig","Blue","Female","Q16","Not sure",3
"257","4257","Pig","Blue","Female","Q17","Agree",4
"258","4257","Pig","Blue","Female","Q18","Agree",4
"259","4257","Pig","Blue","Female","Q19","Not sure",3
"260","4257","Pig","Blue","Female","Q20","Not sure",3
"261","4257","Pig","Blue","Female","Q21","Not sure",3
"262","4257","Pig","Blue","Female","Q22","Agree",4
"263","4257","Pig","Blue","Female","Q23","Not sure",3
"264","4257","Pig","Blue","Female","Q24","Agree",4
"265","4257","Pig","Blue","Female","Q26","Strongly agree",5
"266","4257","Pig","Blue","Female","Q27","Strongly agree",5
"267","4257","Pig","Blue","Female","Q28","Agree",4
"268","4257","Pig","Blue","Female","Q29","Not sure",3
"269","4257","Pig","Blue","Female","Q31","Strongly agree",5
"270","4257","Pig","Blue","Female","Q32","Strongly agree",5
"271","4259","rhino","blue","Female","Q7","Strongly agree",5
"272","4259","rhino","blue","Female","Q8","Agree",4
"273","4259","rhino","blue","Female","Q9","Strongly agree",5
"274","4259","rhino","blue","Female","Q10","Strongly agree",5
"275","4259","rhino","blue","Female","Q11","Agree",4
"276","4259","rhino","blue","Female","Q12","Strongly agree",5
"277","4259","rhino","blue","Female","Q13","Strongly agree",5
"278","4259","rhino","blue","Female","Q14","Agree",4
"279","4259","rhino","blue","Female","Q15","Strongly agree",5
"280","4259","rhino","blue","Female","Q16","Strongly agree",5
"281","4259","rhino","blue","Female","Q17","Strongly agree",5
"282","4259","rhino","blue","Female","Q18","Strongly agree",5
"283","4259","rhino","blue","Female","Q19","Strongly agree",5
"284","4259","rhino","blue","Female","Q20","Strongly agree",5
"285","4259","rhino","blue","Female","Q21","Strongly agree",5
"286","4259","rhino","blue","Female","Q22","Strongly agree",5
"287","4259","rhino","blue","Female","Q23","Strongly agree",5
"288","4259","rhino","blue","Female","Q24","Strongly agree",5
"289","4259","rhino","blue","Female","Q26","Strongly agree",5
"290","4259","rhino","blue","Female","Q27","Strongly agree",5
"291","4259","rhino","blue","Female","Q28","Agree",4
"292","4259","rhino","blue","Female","Q29","Strongly agree",5
"293","4259","rhino","blue","Female","Q31","Strongly agree",5
"294","4259","rhino","blue","Female","Q32","Strongly agree",5
"295","4276","ant","dark yellow","Male","Q7","Agree",4
"296","4276","ant","dark yellow","Male","Q8","Agree",4
"297","4276","ant","dark yellow","Male","Q9","Agree",4
"298","4276","ant","dark yellow","Male","Q10","Agree",4
"299","4276","ant","dark yellow","Male","Q11","Agree",4
"300","4276","ant","dark yellow","Male","Q12","Agree",4
"301","4276","ant","dark yellow","Male","Q13","Agree",4
"302","4276","ant","dark yellow","Male","Q14","Agree",4
"303","4276","ant","dark yellow","Male","Q15","Agree",4
"304","4276","ant","dark yellow","Male","Q16","Strongly agree",5
"305","4276","ant","dark yellow","Male","Q17","Strongly agree",5
"306","4276","ant","dark yellow","Male","Q18","Strongly agree",5
"307","4276","ant","dark yellow","Male","Q19","Strongly agree",5
"308","4276","ant","dark yellow","Male","Q20","Strongly agree",5
"309","4276","ant","dark yellow","Male","Q21","Agree",4
"310","4276","ant","dark yellow","Male","Q22","Agree",4
"311","4276","ant","dark yellow","Male","Q23","Agree",4
"312","4276","ant","dark yellow","Male","Q24","Strongly agree",5
"313","4276","ant","dark yellow","Male","Q26","Strongly agree",5
"314","4276","ant","dark yellow","Male","Q27","Strongly agree",5
"315","4276","ant","dark yellow","Male","Q28","Strongly agree",5
"316","4276","ant","dark yellow","Male","Q29","Strongly agree",5
"317","4276","ant","dark yellow","Male","Q31","Strongly agree",5
"318","4276","ant","dark yellow","Male","Q32","Strongly agree",5
"319","4272","turtle","blue","Male","Q7","Agree",4
"320","4272","turtle","blue","Male","Q8","Agree",4
"321","4272","turtle","blue","Male","Q9","Agree",4
"322","4272","turtle","blue","Male","Q10","Not sure",3
"323","4272","turtle","blue","Male","Q11","Agree",4
"324","4272","turtle","blue","Male","Q12","Agree",4
"325","4272","turtle","blue","Male","Q13","Strongly agree",5
"326","4272","turtle","blue","Male","Q14","Not sure",3
"327","4272","turtle","blue","Male","Q15","Strongly agree",5
"328","4272","turtle","blue","Male","Q16","Agree",4
"329","4272","turtle","blue","Male","Q17","Strongly agree",5
"330","4272","turtle","blue","Male","Q18","Strongly agree",5
"331","4272","turtle","blue","Male","Q19","Strongly agree",5
"332","4272","turtle","blue","Male","Q20","Strongly agree",5
"333","4272","turtle","blue","Male","Q21","Strongly agree",5
"334","4272","turtle","blue","Male","Q22","Strongly agree",5
"335","4272","turtle","blue","Male","Q23","Strongly agree",5
"336","4272","turtle","blue","Male","Q24","Strongly agree",5
"337","4272","turtle","blue","Male","Q26","Strongly agree",5
"338","4272","turtle","blue","Male","Q27","Strongly agree",5
"339","4272","turtle","blue","Male","Q28","Strongly agree",5
"340","4272","turtle","blue","Male","Q29","Agree",4
"341","4272","turtle","blue","Male","Q31","Strongly agree",5
"342","4272","turtle","blue","Male","Q32","Strongly agree",5
"343","4284","Camel","Dark yellow ","Female","Q7","Agree",4
"344","4284","Camel","Dark yellow ","Female","Q8","Agree",4
"345","4284","Camel","Dark yellow ","Female","Q9","Not sure",3
"346","4284","Camel","Dark yellow ","Female","Q10","Agree",4
"347","4284","Camel","Dark yellow ","Female","Q11","Agree",4
"348","4284","Camel","Dark yellow ","Female","Q12","Agree",4
"349","4284","Camel","Dark yellow ","Female","Q13","Agree",4
"350","4284","Camel","Dark yellow ","Female","Q14","Strongly agree",5
"351","4284","Camel","Dark yellow ","Female","Q15","Not sure",3
"352","4284","Camel","Dark yellow ","Female","Q16","Agree",4
"353","4284","Camel","Dark yellow ","Female","Q17","Agree",4
"354","4284","Camel","Dark yellow ","Female","Q18","Agree",4
"355","4284","Camel","Dark yellow ","Female","Q19","Not sure",3
"356","4284","Camel","Dark yellow ","Female","Q20","Agree",4
"357","4284","Camel","Dark yellow ","Female","Q21","Agree",4
"358","4284","Camel","Dark yellow ","Female","Q22","Not sure",3
"359","4284","Camel","Dark yellow ","Female","Q23","Not sure",3
"360","4284","Camel","Dark yellow ","Female","Q24","Not sure",3
"361","4284","Camel","Dark yellow ","Female","Q26","Agree",4
"362","4284","Camel","Dark yellow ","Female","Q27","Not sure",3
"363","4284","Camel","Dark yellow ","Female","Q28","Agree",4
"364","4284","Camel","Dark yellow ","Female","Q29","Not sure",3
"365","4284","Camel","Dark yellow ","Female","Q31","Agree",4
"366","4284","Camel","Dark yellow ","Female","Q32","Strongly agree",5
"367","4289","cow","dark yellow","Female","Q7","Agree",4
"368","4289","cow","dark yellow","Female","Q8","Agree",4
"369","4289","cow","dark yellow","Female","Q9","Agree",4
"370","4289","cow","dark yellow","Female","Q10","Agree",4
"371","4289","cow","dark yellow","Female","Q11","Agree",4
"372","4289","cow","dark yellow","Female","Q12","Strongly agree",5
"373","4289","cow","dark yellow","Female","Q13","Agree",4
"374","4289","cow","dark yellow","Female","Q14","Not sure",3
"375","4289","cow","dark yellow","Female","Q15","Agree",4
"376","4289","cow","dark yellow","Female","Q16","Agree",4
"377","4289","cow","dark yellow","Female","Q17","Agree",4
"378","4289","cow","dark yellow","Female","Q18","Agree",4
"379","4289","cow","dark yellow","Female","Q19","Agree",4
"380","4289","cow","dark yellow","Female","Q20","Not sure",3
"381","4289","cow","dark yellow","Female","Q21","Strongly agree",5
"382","4289","cow","dark yellow","Female","Q22","Agree",4
"383","4289","cow","dark yellow","Female","Q23","Agree",4
"384","4289","cow","dark yellow","Female","Q24","Not sure",3
"385","4289","cow","dark yellow","Female","Q26","Agree",4
"386","4289","cow","dark yellow","Female","Q27","Agree",4
"387","4289","cow","dark yellow","Female","Q28","Agree",4
"388","4289","cow","dark yellow","Female","Q29","Not sure",3
"389","4289","cow","dark yellow","Female","Q31","Not sure",3
"390","4289","cow","dark yellow","Female","Q32","Agree",4
"391","4273","whale","blue","Male","Q7","Strongly agree",5
"392","4273","whale","blue","Male","Q8","Strongly agree",5
"393","4273","whale","blue","Male","Q9","Agree",4
"394","4273","whale","blue","Male","Q10","Strongly agree",5
"395","4273","whale","blue","Male","Q11","Agree",4
"396","4273","whale","blue","Male","Q12","Agree",4
"397","4273","whale","blue","Male","Q13","Agree",4
"398","4273","whale","blue","Male","Q14","Agree",4
"399","4273","whale","blue","Male","Q15","Strongly agree",5
"400","4273","whale","blue","Male","Q16","Agree",4
"401","4273","whale","blue","Male","Q17","Agree",4
"402","4273","whale","blue","Male","Q18","Strongly agree",5
"403","4273","whale","blue","Male","Q19","Strongly agree",5
"404","4273","whale","blue","Male","Q20","Not sure",3
"405","4273","whale","blue","Male","Q21","Strongly agree",5
"406","4273","whale","blue","Male","Q22","Strongly agree",5
"407","4273","whale","blue","Male","Q23","Strongly agree",5
"408","4273","whale","blue","Male","Q24","Strongly agree",5
"409","4273","whale","blue","Male","Q26","Strongly agree",5
"410","4273","whale","blue","Male","Q27","Strongly agree",5
"411","4273","whale","blue","Male","Q28","Strongly agree",5
"412","4273","whale","blue","Male","Q29","Strongly agree",5
"413","4273","whale","blue","Male","Q31","Strongly agree",5
"414","4273","whale","blue","Male","Q32","Strongly agree",5
"415","4287","chick","dark yellow","Female","Q7","Strongly agree",5
"416","4287","chick","dark yellow","Female","Q8","Strongly agree",5
"417","4287","chick","dark yellow","Female","Q9","Strongly agree",5
"418","4287","chick","dark yellow","Female","Q10","Strongly agree",5
"419","4287","chick","dark yellow","Female","Q11","Strongly agree",5
"420","4287","chick","dark yellow","Female","Q12","Strongly agree",5
"421","4287","chick","dark yellow","Female","Q13","Agree",4
"422","4287","chick","dark yellow","Female","Q14","Agree",4
"423","4287","chick","dark yellow","Female","Q15","Agree",4
"424","4287","chick","dark yellow","Female","Q16","Strongly agree",5
"425","4287","chick","dark yellow","Female","Q17","Strongly agree",5
"426","4287","chick","dark yellow","Female","Q18","Strongly agree",5
"427","4287","chick","dark yellow","Female","Q19","Agree",4
"428","4287","chick","dark yellow","Female","Q20","Strongly agree",5
"429","4287","chick","dark yellow","Female","Q21","Strongly agree",5
