"","ID","Gender","Certificate","Q27_1","Q27_2","Q27_3","Q27_4","Q27_5","Q27_6","Q27_7","Q27_8","Q27_9","Q27_10","Q27_11","Q27_12","Q27_13","Q27_14","Q27_15"
"347","4653","Female","IGCSE (British)","3: Somewhat true","3: Somewhat true","3: Somewhat true","4","4","4","4","3: Somewhat true","2","3: Somewhat true","2","1: Not at all true","1: Not at all true","2","1: Not at all true"
"348","4657","Female","IGCSE (British)","4","4","3: Somewhat true","5: Very true","5: Very true","2","2","1: Not at all true","2","3: Somewhat true","4","3: Somewhat true","1: Not at all true","1: Not at all true","4"
"349","4506","Female","IGCSE (British)","5: Very true","5: Very true","4","5: Very true","5: Very true","4","3: Somewhat true","1: Not at all true","1: Not at all true","1: Not at all true","3: Somewhat true","2","3: Somewhat true","2","4"
"350","4668","Male","IGCSE (British)","4","3: Somewhat true","4","5: Very true","4","5: Very true","3: Somewhat true","2","2","3: Somewhat true","5: Very true","5: Very true","5: Very true","1: Not at all true","3: Somewhat true"
"351","4684","Female","IGCSE (British)","4","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","4","2","1: Not at all true","1: Not at all true","3: Somewhat true","4","3: Somewhat true","5: Very true","2","2"
"352","4637","Female","IGCSE (British)","3: Somewhat true","4","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","3: Somewhat true","2","2","1: Not at all true","1: Not at all true","2"
"353","4311","Male","IGCSE (British)","5: Very true","5: Very true","5: Very true","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","3: Somewhat true","1: Not at all true","1: Not at all true","5: Very true","3: Somewhat true","5: Very true","5: Very true","5: Very true"
"354","4297","Male","Other?","3: Somewhat true","3: Somewhat true","4","5: Very true","5: Very true","3: Somewhat true","3: Somewhat true","2","2","2","5: Very true","3: Somewhat true","5: Very true","5: Very true","4"
"355","4707","Female","American Diploma","5: Very true","5: Very true","4","5: Very true","2","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","1: Not at all true","2","1: Not at all true","2","2","4"
"356","4698","Female","American Diploma","4","5: Very true","5: Very true","4","5: Very true","5: Very true","3: Somewhat true","5: Very true","3: Somewhat true","2","4","4","5: Very true","4","5: Very true"
