"","ID","Gender.x","Certificate","PQ01","PQ02","PQ03","PQ04","PQ05","PQ06","PQ07","PQ08","PQ09","PQ10","PQ11","PQ12","PQ13","PQ14","PQ15","PQ16","PQ17","PQ18","PQ19","SQ07","SQ08","SQ09","SQ10","SQ11","SQ12","SQ13","SQ14","SQ15","SQ16","SQ17","SQ18","SQ19","SQ20","SQ21","SQ22","SQ23","SQ24","SQ25","SQ26","SQ27","SQ28","SQ29","SQ31","SQ32"
"58","4278","Male","American Diploma",3,3,2,4,2,1,1,2,1,1,2,1,3,1,4,2,4,4,3,2,2,3,3,3,4,4,2,5,4,3,3,3,3,2,4,3,3,3,4,5,3,2,4,4
"59","4291","Male","American Diploma",3,4,4,3,3,4,2,1,1,3,5,1,1,3,4,2,5,5,5,2,4,5,5,4,4,4,4,2,2,3,2,4,4,1,3,3,2,2,5,5,4,3,4,4
"60","4293","Male","American Diploma",4,4,5,5,4,5,5,4,3,5,4,5,4,3,4,4,4,4,5,4,4,4,4,4,3,4,4,3,3,5,4,4,3,4,4,3,5,5,5,5,3,4,4,4
"61","4327","Male","IGCSE (British)",3,5,5,5,5,3,2,3,4,4,5,3,4,3,4,4,5,5,5,5,3,4,4,3,5,4,5,3,3,5,5,5,3,4,5,4,5,5,5,5,5,5,5,5
"62","4343","Female","IGCSE (British)",4,5,4,5,5,1,1,1,1,1,3,2,4,2,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5
"63","4328","Male","IGCSE (British)",3,3,3,5,3,1,1,1,2,1,2,1,1,1,4,4,5,5,5,5,4,5,5,5,5,4,4,4,3,5,4,4,4,5,4,5,5,4,5,5,5,5,5,5
"64","4324","Male","IGCSE (British)",5,5,5,5,5,5,5,3,2,2,2,3,4,5,4,4,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"65","4348","Female","IGCSE (British)",5,5,5,5,5,5,3,1,3,3,4,3,2,3,4,4,5,5,5,4,4,5,5,4,5,4,4,3,5,4,4,3,3,3,4,5,5,4,4,5,4,5,5,5
"66","4347","Female","IGCSE (British)",4,4,4,5,5,4,4,5,5,4,3,3,3,2,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"67","4339","Female","IGCSE (British)",3,5,3,5,4,3,4,2,2,1,3,2,3,3,4,4,5,4,5,4,4,4,4,3,4,4,3,4,3,4,4,4,5,4,5,4,4,4,5,5,4,4,5,5
"68","4353","Male","IGCSE (British)",3,5,3,4,5,5,5,3,4,5,5,3,5,4,3,2,4,3,3,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5
"69","4367","Female","IGCSE (British)",5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,4,3,4,5,5,4,4,5,3,5,5,5,4,5,5,4,5,3,4,5,5,4,4,5,5
"70","4357","Male","IGCSE (British)",4,5,5,4,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,4,4,5,5,5,4,4,4,4,3,4,4,4,4,5,3,4,4,5,4,5,4,5,4,4
"71","4373","Female","IGCSE (British)",5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,4,4,3,4,3,5,4,3,4,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5
"72","4359","Male","IGCSE (British)",4,3,3,5,5,2,2,3,2,2,3,2,3,1,4,3,5,5,4,4,3,5,5,4,4,5,5,4,4,4,4,3,3,3,4,5,4,4,5,5,5,5,5,5
"73","4352","Male","IGCSE (British)",5,4,4,5,5,3,2,2,3,1,5,5,4,4,3,3,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"74","4362","Male","IGCSE (British)",3,4,4,5,4,2,2,2,1,1,3,2,4,4,4,4,3,3,3,3,4,4,3,4,4,4,3,3,4,5,5,4,3,4,4,5,4,4,5,5,5,4,5,5
"75","4363","Female","IGCSE (British)",5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,5,5,4,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5
"76","4356","Male","IGCSE (British)",5,4,5,5,5,3,3,3,4,4,5,3,5,5,4,3,4,3,4,4,4,3,4,4,5,4,3,3,4,5,5,4,4,3,3,5,4,4,5,5,5,4,5,5
"77","4364","Female","IGCSE (British)",3,4,3,5,4,2,1,1,1,2,3,2,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4
"78","4355","Male","IGCSE (British)",4,3,4,5,4,2,2,2,2,2,5,1,4,4,3,3,3,3,2,4,3,4,4,4,4,3,4,3,3,4,3,3,3,3,3,4,4,4,5,4,4,4,4,4
"79","4342","Female","IGCSE (British)",5,5,3,5,5,1,1,1,1,1,4,3,2,2,3,4,3,5,4,5,5,5,2,4,5,5,5,4,4,4,5,4,5,4,5,5,4,4,5,5,4,4,5,5
"80","4391","Male","IGCSE (British)",4,4,3,3,3,1,1,2,2,2,5,3,4,5,4,3,3,3,3,3,3,3,4,3,4,3,4,2,3,3,3,3,4,3,3,4,3,3,4,4,2,3,4,4
"81","4390","Male","IGCSE (British)",4,5,5,3,5,2,2,1,1,1,5,3,1,3,4,5,5,4,5,4,3,4,4,3,4,4,4,4,5,4,4,4,3,5,5,4,4,4,4,4,4,5,5,5
"82","4384","Female","IGCSE (British)",5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"83","4380","Female","IGCSE (British)",4,5,4,5,5,4,4,3,3,3,4,1,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,3,5,5,4,4,4,5,5,5,4,5,5,5,5,5,5,5
"84","4394","Female","IGCSE (British)",5,5,5,5,5,3,4,3,2,2,4,3,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5
"85","4383","Male","IGCSE (British)",5,5,5,5,5,1,5,1,3,3,1,1,1,3,3,2,5,5,5,5,4,4,4,4,5,4,5,5,4,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5
"86","4382","Female","IGCSE (British)",5,4,3,5,4,5,5,4,2,4,4,5,2,5,2,3,5,5,3,3,3,4,4,4,4,3,3,3,2,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4
"87","4379","Female","IGCSE (British)",4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5,4,4,4,5,4,4,4,3,5,4,4,4,4,4,4,4,5,5,5,4,4,4,5,4,5
"88","4376","Male","IGCSE (British)",5,5,5,5,5,3,3,3,3,3,5,3,5,5,5,5,5,5,5,4,5,5,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5
"89","4404","Female","IGCSE (British)",4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5,4,5,5,5,5,5,5,5,2,4,3,2,2,2,2,4,4,4,3,5,5,4,4,5,5
"90","4410","Female","IGCSE (British)",4,3,4,5,5,2,2,2,2,3,3,2,4,2,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,4,4,5,5,5,4,5,5,4,4,5,5
"91","4411","Female","IGCSE (British)",3,3,3,5,4,1,1,1,1,1,1,1,3,1,3,1,3,3,3,4,4,4,4,3,4,4,3,3,4,4,4,4,5,3,4,5,3,4,4,5,4,4,4,5
"92","4406","Male","IGCSE (British)",4,5,5,4,5,4,5,4,4,3,4,2,NA,4,4,4,3,5,5,4,4,5,5,4,4,4,4,3,4,5,4,3,4,4,4,4,4,3,5,5,3,4,5,5
"93","4400","Female","IGCSE (British)",4,4,4,5,3,3,1,1,1,1,2,5,4,4,3,3,4,4,5,3,4,4,4,4,4,4,3,3,4,4,4,4,4,3,5,4,4,4,4,5,4,4,4,5
"94","4396","Female","IGCSE (British)",4,5,5,5,5,2,2,1,1,1,2,3,3,2,4,4,5,4,5,5,4,4,5,4,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5
"95","4407","Male","IGCSE (British)",5,5,4,5,5,2,2,1,2,1,3,3,5,5,5,4,4,5,5,5,4,4,4,4,4,4,5,4,5,5,4,4,5,3,4,5,4,4,4,4,4,4,4,5
"96","4413","Female","IGCSE (British)",2,3,4,4,5,1,1,1,1,2,3,1,5,2,4,4,5,4,4,4,4,4,4,4,4,3,4,2,2,3,2,3,2,3,4,4,3,4,5,5,3,4,5,5
"97","4397","Female","IGCSE (British)",5,5,5,5,4,2,1,1,1,1,2,2,5,2,4,3,5,5,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,5,4,5,5,5,4,5,5
"98","4429","Female","IGCSE (British)",4,5,4,5,5,3,3,2,1,2,3,2,1,1,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"99","4428","Male","IGCSE (British)",3,4,4,5,4,4,4,4,4,4,5,4,5,4,4,3,3,3,3,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,5,5,5,4,5,5
"100","4433","Male","IGCSE (British)",5,5,5,5,5,1,1,1,1,1,5,3,4,1,4,5,5,4,5,5,5,5,5,4,5,4,4,4,4,5,5,4,5,3,4,5,5,5,5,5,5,5,5,5
"101","4423","Male","IGCSE (British)",5,5,5,5,5,3,2,1,2,2,5,2,3,2,3,3,5,5,5,4,4,5,4,4,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"102","4436","Female","IGCSE (British)",4,5,3,5,5,2,1,1,1,1,3,3,2,3,4,4,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5
"103","4430","Female","IGCSE (British)",4,5,5,5,5,1,1,3,1,1,4,2,4,1,5,5,5,5,5,5,5,5,5,3,4,5,3,3,4,4,4,3,4,5,5,5,2,3,5,5,5,3,5,5
