"","...1","ID","Gender","Certificate","Age","Age_squared","Age.cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC..2.","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg.SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean","FMresid","FM_stdres","FMresid3","CB_stdres","CBresid","SS_stdres","PostScore_stdres","MG_S_stdres","SE_S_stdres","TV_stdres","MG_P_stdres","SE_P_stdres","PAV_stdres","PAp_stdres","PreScore_stdres","SS_stdres2"
"193",193,4382,"Female","IGCSE (British)",13.1,171.61,2248.091,7.5,5,79.63,76.56,60.87,-0.39,0.47,0.69,-0.18,-0.82,-0.85,-0.88,-0.55,-1.85,-0.2,-0.87,-0.85,0.58,4.87,137.1,0.8,1.28,8.83,-0.419331721440332,-0.448482554921016,-0.419331721440332,-0.0716123092959653,-0.419331721440332,-1.79363013427686,-0.737277228170385,-1.04038220421387,-1.18988314563403,-1.00720054741426,-0.404917504191204,-0.699028631017874,0.474676629397619,0.776212758132566,-0.912494766355323,-1.78783933091362
"194",194,4478,"Female","IGCSE (British)",12.79,163.5841,2092.240639,5.5,7,4.63,97.66,59.38,0.79,0.83,0.39,0.59,0.14,0.39,0.11,-0.86,-1.96,-0.41,-1.08,0.21,0.61,0.4,162.51,0.05,1.84,9.24,-0.579511435562865,-0.620264583067326,-0.579511435562865,-0.232148428237427,-0.579511435562865,-1.86590332217676,-1.18237383949955,0.227225171194978,0.212014144840041,0.574296139221521,0.812562768496496,1.07935837252201,0.908339608460468,0.314019287767913,-0.246814328338594,-1.86025473253789
"195",195,4499,"Female","IGCSE (British)",12.91,166.6681,2151.685171,8,7,99.07,92.19,63.33,-0.23,-0.22,-0.05,0.13,-0.87,-1.03,-1.06,-0.98,-1.27,0.2,-0.69,-0.99,-0.13,2.42,53.79,0.99,1.84,8.13,-0.757543384283078,-0.810467207978367,-0.757543384283078,0.380379213492844,-0.757543384283078,-1.19106325398658,-0.534182144086137,-1.26518540455077,-1.26488214235389,-1.23704661359572,0.0758589552409563,-0.470159211374278,-0.490850814439891,-0.247831820149775,-0.292788833805538,-1.18468926792617
"196",196,4568,"Male","IGCSE (British)",12.43,154.5049,1920.495907,8.5,7,93.52,96.88,65.63,0.17,-0.66,-1.03,0.01,0.6,0.17,0.11,-0.86,0.19,-0.88,-0.52,0.29,-0.84,0.91,120.38,0.94,1.83,12.21,-0.41124814165903,-0.441161060162934,-0.41124814165903,-0.656351389048324,-0.41124814165903,0.327985764903241,-0.231176202264219,0.236386756514266,0.883517063527619,0.294108657687837,-0.188702013168579,0.102358276347497,-1.17021916925361,-1.65303718949337,-0.108767048746979,0.334291839019377
"197",197,4617,"Female","IGCSE (British)",13.16,173.1856,2279.122496,6,4,80.56,96.88,53.13,-1.12,-0.4,-0.2,-0.5,-0.6,-0.54,-0.64,0.21,0.57,-1.77,-0.33,-0.59,-0.3,0.67,182.33,0.81,1.27,15.79,0.311999869342535,0.333685079898152,0.311999869342535,-1.71606482630644,0.311999869342535,0.615602627725235,-1.17125192151814,-0.736392914452231,-0.867585403897722,-0.611924550526814,-0.920305877979935,-1.80934417666921,-0.690782277020762,-0.396729932687258,-1.20887127678113,0.62340176410402
"198",198,4826,"Male","IB",12.69,161.0361,2043.548109,13,7,92.59,97.66,62.5,0.57,-0.48,-0.65,0.78,0.81,1.36,1.29,0.46,-0.19,-0.86,-0.2,1.15,-0.56,1.06,94.63,0.93,1.19,11.56,0.788407967174641,0.844264243515467,0.788407967174641,-0.682293285824883,0.788407967174641,-0.084660765214703,0.920634643609653,1.73269767999081,1.19214105810249,1.81235614261709,1.11002352919229,0.735092229064009,-0.880827037086467,-1.09234323130395,-0.208490115265387,-0.0776696427590901
"199",199,4870,"Male","IB",12.94,167.4436,2166.720184,13,7,87.04,97.66,46.67,-0.32,0.37,0.82,-0.39,-0.55,-1.45,-1.35,-0.27,1.02,-0.73,0,-1.12,0.6,0.63,168.46,0.87,1.48,8.19,-0.062082084932602,-0.0664139620945808,-0.062082084932602,-0.592979948355731,-0.062082084932602,1.09286766361014,0.833885616267736,-1.63498721646906,-0.796411262682646,-1.77263476414654,-0.771543702708932,-0.605240169440361,0.312009627024329,0.917119926382673,-0.304280691942852,1.10126579298424
"200",200,4244,"Male","IGCSE (British)",12.96,167.9616,2176.782336,6.5,5,95.37,75.78,48.28,-0.3,0.76,0.12,-0.46,-0.72,-0.18,-0.54,-0.6,-0.89,-0.58,-0.69,-0.48,0.44,1.67,63.7,0.95,1.29,7.99,-0.401772401254354,-0.429786368977596,-0.401772401254354,-0.440626395493375,-0.401772401254354,-0.817604685230883,-0.964859822442535,-0.604410524670169,-1.0449317451085,-0.152926014523657,-0.883328201596102,-0.573027009384147,0.84268908381032,-0.0112261642959266,-0.859005219621534,-0.810884918185119
"201",201,4257,"Female","IGCSE (British)",12.49,156.0001,1948.441249,12,7,90.74,94.53,67.74,0.46,0.33,0.8,0.28,0.88,-0.69,-0.4,-0.08,1.34,-0.08,0.39,-0.07,0.56,0.6,168.4,0.91,1.35,9.46,0.34171470126118,0.36640009681408,0.34171470126118,0.166400050962664,0.34171470126118,1.47064141802625,0.71423706824916,-0.415139881777928,1.29393556825219,-0.804169126595669,0.262566267922825,0.550976604218365,0.180514626611736,0.800147349278817,-0.131792627912746,1.47819790697042
"202",202,4289,"Female","IGCSE (British)",12.97,168.2209,2181.825073,8.5,4,43.52,92.97,66.67,-0.55,0.6,0.99,-0.18,-0.32,-0.45,-1.05,-1.34,-1.95,0.04,-1.08,-0.61,0.79,3.69,168.73,0.44,2.19,8.95,-1.14661596378243,-1.22653809320885,-1.14661596378243,0.202615812730761,-1.14661596378243,-1.87766827841494,-0.416970456268424,-1.25378432700633,-0.459663808880215,-0.497254914834321,-0.423355777176063,-0.954255240282539,0.628097987933929,1.14958167420922,-1.13635135224564,-1.87188077942372
