"ID","Gender","Certificate","Age","Age_squared","Age-cubed","PostScore","PreScore","SS_ACC","FM_ACC","CB_ACC (2)","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG","Avg_RTc","Avg_EFF","Avg_ACC","FM_RTc_mean","CB_RTc_mean"
4500,"Female","IGCSE (British)",11.77,138.53289999999998,1630.5322329999997,14.0,13.0,83.33,96.88,78.13,-0.59,0.01,-0.03,-0.26,0.07,0.15,0.22,-0.53,0.36,-2.73,-0.97,0.15,-0.01,0.76,147.14,0.83,1.61,64.78
4271,"Male","IGCSE (British)",14.29,204.20409999999998,2918.076589,15.0,14.0,84.26,97.66,71.88,0.48,-0.1,-0.22,0.37,-0.7,0.33,0.29,0.37,0.05,0.15,0.19,-0.03,-0.16,0.87,125.28,0.84,1.22,9.34
4374,"Male","National",15.8,249.64000000000001,3944.3120000000004,16.0,14.0,82.41,93.75,59.38,-1.1,0.64,-0.3,-0.61,-0.71,-0.2,-0.64,1.12,-0.66,1.45,0.64,-0.52,0.17,1.23,320.02,0.82,0.97,5.59
4413,"Female","IGCSE (British)",12.92,166.9264,2156.689088,15.0,12.0,89.81,98.44,58.06,-0.08,-0.34,-0.63,-0.57,-0.42,-1.33,-0.59,-0.46,0.82,-0.05,0.1,-0.78,-0.49,0.69,142.09,0.9,1.6,8.03
4423,"Male","IGCSE (British)",13.65,186.32250000000002,2543.302125,15.0,14.0,76.85,95.31,68.75,0.23,-0.0,-0.09,0.68,0.16,1.26,1.04,0.31,0.43,0.03,0.26,0.82,-0.05,0.68,169.79,0.77,1.21,9.27
4433,"Male","IGCSE (British)",13.09,171.3481,2242.946629,15.0,14.0,90.74,92.97,67.74,0.46,-0.15,-0.84,0.72,0.73,0.51,0.91,-0.16,-0.36,0.17,-0.12,0.72,-0.5,1.14,121.71,0.91,1.36,8.75
4436,"Female","IGCSE (British)",13.82,190.9924,2639.514968,10.0,12.0,73.83,82.81,63.33,0.19,-0.38,-0.74,0.08,0.82,0.85,0.77,0.73,1.29,-0.57,0.48,0.81,-0.56,0.49,216.71,0.74,0.94,10.43
4458,"Female","IB",15.03,225.90089999999998,3395.2905269999997,16.0,14.0,97.22,97.66,64.52,0.61,0.42,0.17,-0.07,0.99,0.54,0.86,-0.08,-1.13,1.12,-0.03,0.8,0.29,2.08,50.94,0.97,1.39,6.54
4802,"Female","IB",15.16,229.8256,3484.156096,15.0,14.0,87.96,95.31,67.86,-0.97,-1.64,-1.46,-0.75,-0.5,-0.81,-1.07,1.36,1.7,1.36,1.47,-0.79,-1.55,0.52,203.22,0.88,0.93,6.51
4803,"Female","IB",14.43,208.2249,3004.6853069999997,14.0,14.0,89.72,98.44,68.75,-1.33,-0.54,-0.1,-1.06,-0.85,-1.25,-1.19,0.54,0.52,0.59,0.55,-1.09,-0.32,0.77,186.12,0.9,1.17,7.91
4828,"Male","IB",12.64,159.76960000000003,2019.4877440000005,13.0,14.0,88.89,86.72,61.29,-0.91,-0.51,-0.44,-0.71,-0.58,-1.07,-1.12,0.39,0.37,1.37,0.71,-0.92,-0.48,0.8,151.31,0.89,1.08,5.87
