"","ID","Gender","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08","Q09","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","score","Q01_imp","Q02_imp","Q03_imp","Q04_imp","Q05_imp","Q06_imp","Q07_imp","Q08_imp","Q09_imp","Q10_imp","Q11_imp","Q12_imp","Q13_imp","Q14_imp","Q15_imp","Q16_imp","Q17_imp","Q18_imp","Q19_imp"
"67","4300","Female",3,5,5,5,4,1,1,3,3,2,1,1,2,2,4,3,5,5,5,127,3,5,5,5,4,1,1,3,3,2,1,1,2,2,4,3,5,5,5
"68","4304","Male",5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3,143,5,5,4,4,5,4,2,4,3,4,5,5,4,3,5,3,4,3,3
"69","4303","Female",5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5,140,5,3,5,3,3,3,2,2,3,3,5,4,5,5,3,3,5,4,5
"70","4312","Male",3,3,3,4,4,4,4,2,5,3,2,3,3,2,2,1,4,3,3,128,3,3,3,4,4,4,4,2,5,3,2,3,3,2,2,1,4,3,3
"71","4322","Female",4,3,5,4,5,4,2,1,1,2,5,4,4,3,3,4,3,4,3,135,4,3,5,4,5,4,2,1,1,2,5,4,4,3,3,4,3,4,3
"72","4313","Female",3,2,4,5,2,1,2,2,2,2,3,1,2,3,4,3,3,4,2,122,3,2,4,5,2,1,2,2,2,2,3,1,2,3,4,3,3,4,2
"73","4315","Male",5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5,145,5,5,5,5,5,3,5,1,1,1,5,1,2,3,5,5,5,5,5
"74","4319","Female",4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4,154,4,5,5,4,5,5,3,4,5,4,5,2,5,5,4,3,4,4,4
"75","4318","Female",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,3,4,4,4,4,2,3,2,2,2,4,3,3,2,3,2,5,5,4
"76","4296","Female",3,3,1,5,3,3,5,3,5,3,5,1,5,1,3,3,3,5,3,139,3,3,1,5,3,3,5,3,5,3,5,1,5,1,3,3,3,5,3
"77","4308","Female",5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3,151,5,5,4,5,5,3,3,2,3,5,5,5,5,3,3,3,3,4,3
"78","4036","Male",3,3,3,4,2,1,3,2,3,3,2,2,3,2,3,4,2,4,3,130,3,3,3,4,2,1,3,2,3,3,2,2,3,2,3,4,2,4,3
"79","4307","Female",5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5,149,5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5
"80","4301","Female",5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5,160,5,5,3,5,5,5,4,3,2,2,5,1,5,5,5,5,5,5,5
