"","subject_id","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF"
"233","4592",89.06,62.69,92.45,113.83,56.25,5.79203587915954
"234","4595",74.22,55.7,81.48,99.14,56.6666666666667,6.75468796380048
"235","4604",94.53,79.31,93.52,76.08,72.4137931034483,9.74095466215122
"236","4616",93.75,91.77,88.89,122.66,56.25,6.70854121528951
"237","4617",96.88,76.51,80.56,119.38,53.125,3.36374437591252
"238","4632",87.5,45.54,76.85,133.9,NA,NA
"239","4636",90.63,83.52,87.64,153.6,56.25,8.59770388234095
"240","4637",90.63,75.64,86.11,157.91,68.75,8.10626849033143
"241","4642",100,24.68,98.13,40.18,NA,NA
"242","4643",88.28,78.17,84.26,189.44,74.1935483870968,14.7218311397619
"243","4644",93.75,88.2,73.15,83.62,50,10.2539563181461
"244","4645",98.44,49.41,79.63,77.11,50,4.99443952399662
"245","4648",78.13,43.34,37.5,216.51,NA,NA
"246","4652",99.21,76.68,98.15,61.03,62.5,6.30787475083895
"247","4656",95.31,64.66,86.11,85.06,59.375,8.25123242784629
"248","46571",96.09,48.84,93.52,99.62,65.625,7.94803105102888
"249","4661",95.28,86.07,88.89,224.17,71.875,13.4671940172054
"250","4662",94.49,68.81,93.78,83.07,59.2592592592593,9.81489341064095
"251","4665",98.44,79.01,91.67,114.04,56.25,9.02655813994954
"252","4667",92.19,102.29,88.89,140.19,67.741935483871,7.41997905917021
"253","4668",96.09,54.07,90.65,111.97,50,6.12880292221323
"254","4669",74.12,122.84,81.48,173.21,36.3636363636364,5.45447727357954
"255","4672",96.86,54.12,66.67,32.16,70,11.4280383422348
"256","4673",92.19,86.05,93.52,85.71,NA,NA
"257","4675",88.28,60.46,78.7,87.46,56.25,6.47925358998643
"258","4676",95.31,68.45,98.15,68,56.6666666666667,6.53173769083862
"259","4683",74.02,79.72,75,143.36,55.1724137931034,9.90105902655572
"260","4684",93.75,87.43,75.93,137.94,65.625,11.1685833069947
"261","4686",98.29,58.55,90.74,121.2,71.4285714285714,7.40012239802446
"262","4689",84.38,66.78,76.85,68.13,40,4.00724643730746
"263","4691",93.75,51.86,79.63,107.51,50,6.10047482029018
"264","4693",99.22,46.4,94.44,98.75,71.875,9.05325848849945
"265","4697",74.22,94.09,89.81,50.23,59.375,6.1046716126344
"266","4698",98.44,88.07,89.81,147.06,58.0645161290323,9.40595309738906
"267","4703",92.19,82.11,90.74,120.56,71.875,7.40309088140724
"268","4704",83.59,43.69,87.96,67.35,NA,NA
"269","4705",82.81,84.28,80.56,132.1,63.3333333333333,8.69919345704984
"270","4707",96.09,94.41,92.59,230.26,75,8.06863720717571
"271","4708",89.84,89.25,92.59,149.74,NA,NA
"272","4709",93.75,74.6,91.67,60.05,65.625,6.68373013371098
"273","4711",93.75,21.49,84.26,107.42,51.8518518518518,8.24269522676454
"274","4712",97.66,80.44,91.67,122.24,60.7142857142857,7.77479460014958
"275","4714",91.41,89.96,87.96,181.59,64.2857142857143,8.12172561602286
"276","4716",96.88,57.11,81.48,84.43,62.5,7.32901410102313
"277","4717",96.09,67.39,96.3,61.82,47.3684210526316,6.52367732442247
"278","4718",98.44,76.9,94.44,116.48,65.625,5.21683089234543
"279","4720",97.66,57.85,87.85,100.48,65.625,6.22591516717641
"280","4722",95.31,61.64,93.52,50.57,59.375,7.03455780107128
"281","4723",95.31,58.52,92.59,94.53,75,7.34705872748943
"282","4725",98.44,70.04,92.59,118.56,65.625,7.39373145699095
"283","4726",94.49,68.12,83.33,135.51,70,8.40024000685734
"284","4727",89.84,60.74,84.26,68.35,55.1724137931034,8.44817851001192
"285","4728",95.31,82.38,95.37,144.46,60,7.69740640167632
"286","4730",94.53,109.4,86.11,154.34,56.25,5.87453728953201
"287","4731",91.41,83.7,92.66,109.63,53.125,5.07524712414371
"288","4733",97.66,51.33,92.59,134.63,68.9655172413793,11.5148837068714
"289","4737",75.78,109.02,77.78,141.02,58.0645161290323,5.16767016228717
"290","4739",91.41,78.14,75,101.14,62.5,6.65190829945295
"291","4740",91.41,65.95,80.56,141.53,58.0645161290323,8.58427546198107
"292","4742",96.88,75.79,82.41,48.92,65.3846153846154,6.95672436013782
"293","4746B",95.31,83.82,90.74,162.75,60,5.74339775156614
"294","4748",93.75,32.09,76.85,66.64,40.7407407407407,6.33738454568547
"295","4750",98.44,46.67,88.89,24.88,66.6666666666667,8.67699663115606
"296","4752",100,72.17,84.92,100.81,68.9655172413793,2.90995585378723
"297","4753",91.41,75.63,90.74,191.15,61.5384615384615,10.313780661339
"298","4754B",96.09,89.21,97.22,102.22,62.0689655172414,6.98681970964589
"299","4755B",99.22,61.55,97.22,79.1,65.5172413793103,9.76197545606814
"300","4756B",93.75,102.91,94.44,141.24,78.125,4.08504421521137
"301","4758",96.09,112.11,94.44,125.38,NA,NA
"302","4759",94.53,113.79,92.59,153.29,53.3333333333333,9.55955114919995
"303","4760",95.31,45.7,90.74,66.67,68.75,2.83972498319634
"304","4761",96.09,71.06,99.07,58.2,67.741935483871,7.06654667958835
"305","4763B",95.31,79.36,88.89,162.49,61.5384615384615,11.0228422570992
"306","4764",95.31,107.12,75,137.42,66.6666666666667,8.19327946252087
"307","4765",92.97,97.26,79.63,155.15,75,8.10226863521786
"308","4766",95.31,89.36,80.56,118.54,79.3103448275862,10.4422026059711
"309","4767",71.88,86.72,89.81,82.77,63.3333333333333,9.59473538729774
"310","4768B",89.06,71.63,82.41,117.47,45.8333333333333,4.16522088751563
"311","4769B",96.88,70.38,88.89,70.39,70,10.152003812181
"312","4770",95.31,54.44,80.49,104.5,58.6206896551724,9.4803147333276
"313","4772",78.91,72.34,75,69.26,75,9.34152619779125
"314","4773",92.19,52.75,87.96,108.97,64.2857142857143,8.38965276159404
"315","4775",96.88,55.01,88.89,139.4,58.3333333333333,9.06742462934589
