,ID,Gender,Certificate ,Age,FM_Per.ACC,PostScore,PreScore,FM_EFF2,SS_ACC,CB_PerCorrect,CB_EFF,SE_P,PAV,PAp,MG_P,SE_S.x,TV.x,MG_S.x,FM_EFF_Z,SS_EFF_Z,CB_EFF_Z,Avg_EF,Avg-SALES,Avg_PG,SelfEfficacy_P,PerfAvGoals,PerfAppGoals,MasteryGoals_P,Average.of.RTc,Average.of.EFF,Average.of.ACC,Per.Correct,Eff2,FM_ACC_mean,FM_EFF_mean,FM_RTc_mean,Per.ACC,FM_EFF,CB_ACC,CB_RTc_mean,CB_PerCorrect
86,4355,Male,IGCSE (British),15.35,98.44,14.50,15.00,65.02,96.30,70.00,8.77,-1.00,0.16,-0.07,-0.46,-0.55,-1.03,-0.71,-0.31,0.29,0.63,0.20,-0.77,0.05,-1.10,0.28,-0.32,-0.44,0.90,98.95,0.96,96.30,107.28,0.98,71.78,1.51,98.44,65.02,0.70,7.98,70.00
154,4517,Female,IGCSE (British),13.51,97.66,13.00,14.00,52.06,98.15,60.00,4.28,-0.45,0.72,0.38,-0.43,-0.24,0.87,0.50,-0.90,-0.36,-1.36,-0.87,0.38,0.55,-0.35,1.06,0.53,-0.36,1.23,71.35,0.98,98.15,79.62,0.98,67.30,1.88,97.66,52.06,0.60,14.02,60.00
238,4846,Male,IB,13.85,90.63,15.00,15.00,87.80,74.07,60.00,10.51,0.85,-0.46,-0.98,0.04,0.47,-0.57,0.14,0.72,1.09,1.40,1.07,0.01,-0.72,0.74,-0.65,-1.36,0.10,0.52,235.48,0.74,74.07,141.52,0.91,112.83,1.03,90.63,87.80,0.60,5.71,60.00
265,4900,Male,IGCSE (British),14.03,100.00,16.00,14.00,65.16,84.26,71.88,5.74,0.01,0.60,0.53,-0.25,0.27,-0.14,0.05,-0.31,-0.09,-0.71,-0.37,0.06,0.56,0.17,0.85,0.81,-0.14,0.92,130.51,0.84,84.26,91.36,1.00,70.33,1.53,100.00,65.16,0.72,12.52,71.88
266,4901,Female,IGCSE (British),14.07,96.09,15.00,14.00,90.75,96.30,68.75,9.53,-0.63,-0.29,-0.31,-0.73,0.24,-0.44,0.03,0.85,-0.27,0.97,0.52,-0.06,-0.30,-0.60,-0.58,-0.77,-0.74,1.15,88.47,0.96,96.30,83.51,0.96,111.40,1.06,96.09,90.75,0.69,7.21,68.75
275,4914,Female,IGCSE (British),14.90,100.00,14.00,14.00,46.44,100.00,53.13,7.52,-0.33,0.48,0.56,0.13,-0.03,0.78,0.81,-1.15,-1.58,0.08,-0.88,0.52,0.52,-0.17,0.79,0.99,0.24,3.59,30.23,1.00,100.00,27.82,1.00,58.61,2.15,100.00,46.44,0.53,7.06,53.13
11,4243,Female,IGCSE (British),13.42,93.75,11.00,13.00,61.42,73.15,65.52,9.30,-0.26,0.21,-0.12,-0.16,-0.74,-0.61,-0.73,-0.48,0.04,0.87,0.14,-0.69,0.04,-0.14,0.29,-0.37,-0.04,0.76,153.79,0.73,73.15,96.69,0.94,89.22,1.53,93.75,61.42,0.66,7.04,65.52
26,4273,Male,IGCSE (British),12.97,93.75,14.00,15.00,46.58,98.15,65.63,7.80,0.94,-0.09,-0.03,0.38,0.31,0.56,0.56,-1.15,-0.89,0.20,-0.61,0.48,-0.06,0.81,-0.09,-0.26,0.48,1.72,68.65,0.98,98.15,57.02,0.94,92.35,2.01,93.75,46.58,0.66,8.41,65.63
27,4275,Male,IGCSE (British),13.04,84.38,12.00,13.00,112.73,5.56,65.52,8.58,0.58,0.48,0.06,0.30,0.53,0.79,0.68,1.84,-1.82,0.55,0.19,0.67,0.27,0.63,0.69,-0.02,0.44,0.32,292.74,0.06,5.56,17.34,0.84,152.72,0.75,84.38,112.73,0.66,7.63,65.52
76,4328,Male,IGCSE (British),15.02,98.44,16.00,15.00,76.32,83.33,65.63,6.11,0.27,-1.08,-0.68,-0.55,0.65,0.19,0.67,0.20,0.51,-0.55,0.05,0.50,-0.88,0.39,-1.56,-1.25,-0.54,0.71,167.59,0.83,83.33,116.92,0.98,84.97,1.29,98.44,76.32,0.66,10.75,65.63
