Row Labels,Average of RTc,Average of EFF,Average of ACC,Per Correct,Eff2
4273,1.72,68.65,0.98,98.15,57.02
4440,1.62,103.27,0.92,91.67,56.72
4606,1.49,146.51,0.84,84.26,56.56
4799,1.36,103.13,0.77,76.85,56.47
4917,1.78,48.15,1.00,100.00,56.29
4227,1.36,185.83,0.76,75.93,55.94
4287,1.40,104.35,0.78,77.78,55.54
4402,1.74,65.23,0.96,96.30,55.48
4324,1.76,54.73,0.97,97.22,55.31
4303,1.74,69.07,0.96,96.30,55.22
4292F,1.78,63.94,0.98,98.15,55.16
4808,1.78,74.76,0.98,98.15,55.16
4252,1.54,100.69,0.84,84.26,54.70
4933,1.70,134.51,0.90,89.81,52.88
4818,0.67,77.90,0.35,35.19,52.58
4454,1.77,118.28,0.93,92.59,52.36
4922,1.91,48.16,0.98,98.15,51.48
4302,1.91,69.40,0.97,97.22,50.90
4722,1.85,79.31,0.94,93.52,50.57
4697,1.79,150.27,0.90,89.81,50.23
4952,1.92,88.65,0.96,96.30,50.08
4230,1.57,141.13,0.78,77.67,49.59
4241,1.82,111.48,0.90,89.81,49.28
4742,1.68,153.91,0.82,82.41,48.92
4790,1.69,176.52,0.82,82.41,48.84
4536,1.34,118.60,0.64,63.64,47.57
4258,2.12,51.13,1.00,100.00,47.27
4363,2.10,48.21,0.99,99.07,47.22
4458,2.08,50.94,0.97,97.22,46.79
4871,1.73,176.58,0.80,79.63,45.97
4513,2.00,144.12,0.90,89.81,45.01
4869,2.18,74.12,0.97,97.22,44.66
4475,2.00,140.30,0.89,88.89,44.41
4535,1.86,111.47,0.81,80.56,43.21
4354,1.70,137.01,0.73,73.15,43.05
4229,2.23,113.95,0.94,94.44,42.36
4378,2.14,97.80,0.91,90.65,42.27
4373,1.83,192.71,0.76,75.93,41.57
4499,2.42,53.79,0.99,99.07,40.87
4545,2.45,36.04,0.99,99.06,40.41
4642,2.44,42.78,0.98,98.13,40.18
4857,1.57,101.02,0.63,62.96,40.12
4583,2.42,56.44,0.96,96.30,39.73
4597,0.29,1241.89,0.11,11.21,38.68
4897,2.69,42.63,0.98,98.15,36.54
4432,2.68,44.12,0.97,97.22,36.29
4850,2.62,90.41,0.94,93.52,35.72
4356,2.84,44.29,0.98,98.15,34.56
4879F ,0.38,155.89,0.13,12.96,33.96
4226,2.27,126.01,0.76,75.93,33.50
4755,1.33,1026.71,0.44,44.44,33.29
4746,0.56,831.02,0.19,18.52,32.86
4672,2.07,61.83,0.67,66.67,32.16
4932,2.97,62.28,0.95,95.37,32.13
4571,1.61,97.66,0.51,50.93,31.73
4452,3.18,29.56,1.00,100.00,31.41
4819,0.55,237.86,0.17,16.83,30.76
4434,3.19,50.30,0.96,96.30,30.22
4469,3.03,131.86,0.90,89.81,29.62
4421,3.23,71.17,0.95,95.37,29.56
4815,1.91,306.11,0.56,56.48,29.54
4235,3.18,90.39,0.94,93.52,29.40
4236,3.05,138.57,0.86,86.11,28.21
4216,3.15,60.47,0.89,88.89,28.17
4914,3.59,30.23,1.00,100.00,27.82
4569,0.86,303.85,0.23,23.15,26.90
4217,3.03,145.50,0.76,75.93,25.02
4750,3.57,117.78,0.89,88.89,24.88
4888,4.14,33.14,0.99,99.07,23.93
4947,3.39,56.30,0.81,80.56,23.76
4491,3.79,191.06,0.89,88.89,23.48
4224,3.29,132.66,0.77,76.85,23.33
4319,1.69,136.21,0.35,35.19,20.79
4308,4.27,80.20,0.88,87.96,20.62
4225,5.00,132.00,0.90,89.81,17.96
4588,1.38,127.70,0.24,24.07,17.50
4275,0.32,292.74,0.06,5.56,17.34
4832,0.40,257.47,0.07,6.67,16.49
4382,4.87,137.10,0.80,79.63,16.34
4220,5.82,54.88,0.94,94.44,16.24
4221,6.72,81.29,0.91,90.74,13.50
4219,6.72,113.51,0.86,86.11,12.81
4289,3.69,168.73,0.44,43.52,11.79
4478,0.40,162.51,0.05,4.63,11.44
4234,1.05,63.55,0.11,11.11,10.59
4946,9.68,240.89,0.85,85.19,8.80
4222,4.53,212.93,0.39,38.89,8.58
4346,9.93,149.64,0.83,83.33,8.39
4223,9.64,621.05,0.64,63.55,6.59
4231,7.61,3293.73,0.48,48.15,6.32
4562,0.45,232.07,0.03,2.78,6.20
4677,7.57,1561.55,0.42,41.67,5.50
4883,9809.29,163.31,0.79,78.70,0.01
,,,,,
