ID,Gender,Q01_imp,Q02_imp,Q03_imp,Q04_imp,Q05_imp,Q06_imp,Q07_imp,Q08_imp,Q09_imp,Q10_imp,Q11_imp,Q12_imp,Q13_imp,Q14_imp,Q15_imp,Q16_imp,Q17_imp,Q18_imp,Q19_imp,score
4341,Male,3,5,3,5,5,1,1,1,3,1,5,5,5,5,3,5,5,5,5,71
4562,Female,4,4,4,4,4,4,3,1,3,4,4,4,4,4,4,4,4,4,4,71
4358,Male,5,5,5,5,5,3,1,1,1,1,5,3,5,1,5,5,5,5,5,71
4653,Male,3,5,3,5,5,3,3,3,3,3,5,1,5,3,5,5,5,3,3,71
4464,Male,5,4,3,3,4,4,3,5,3,4,5,3,5,4,2,2,3,4,5,71
4723,Female,5,5,5,5,5,3,3,3,2,2,3,2,3,2,4,4,5,5,5,71
4720,Female,5,5,5,5,5,2,1,3,1,1,4,3,5,3,5,3,5,5,5,71
4728,Female,5,4,5,5,4,3,3,3,1,2,4,3,3,2,4,5,5,5,5,71
4762,Male,3,3,5,5,5,5,3,3,3,1,5,3,3,3,3,5,5,3,5,71
4822,Female,5,5,5,5,5,3,3,1,1,3,4,3,3,3,4,4,5,4,5,71
4870,Male,4,4,3,5,3,5,4,3,4,4,5,2,1,5,3,4,5,4,3,71
4921,Female,4,5,5,4,3,5,4,2,3,3,4,1,5,4,4,3,3,4,5,71
4232,Male,4,5,4,4,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,70
4261,Female,5,4,5,5,4,3,3,3,3,3,4,2,1,3,5,4,5,4,4,70
4252,Female,5,4,3,5,5,2,5,3,3,3,3,3,3,3,4,4,4,4,4,70
4292F,Female,3,5,5,5,5,3,3,2,1,1,4,1,5,5,5,4,5,4,4,70
4307,Female,5,5,4,4,5,3,3,3,3,3,3,1,3,2,4,4,5,5,5,70
4379,Female,4,3,4,5,4,2,2,3,3,3,3,3,3,4,4,5,5,5,5,70
4404,Female,4,3,2,5,5,4,2,2,2,4,5,3,5,2,3,4,5,5,5,70
4490,Male,4,3,5,4,3,4,1,3,1,1,5,2,4,5,5,5,5,5,5,70
4335,Female,4,3,5,3,4,4,3,3,3,3,5,4,5,4,4,4,3,3,3,70
4358F,Female,5,5,4,5,5,3,3,2,3,2,4,2,3,1,4,4,5,5,5,70
4574,Male,5,4,4,5,4,3,3,3,4,3,2,2,5,3,4,4,4,4,4,70
4668,Male,4,3,4,5,4,5,3,2,2,3,5,5,5,1,3,3,4,4,5,70
4746,Male,1,5,5,5,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,70
4878,Female,5,5,5,5,5,2,2,2,1,1,4,3,4,3,5,4,5,4,5,70
4928,Female,3,3,4,5,5,4,3,3,2,1,4,2,5,5,4,4,4,4,5,70
4271,Male,5,5,5,5,3,2,2,5,1,1,4,1,3,4,4,4,5,5,5,69
4330,Male,3,3,5,5,5,1,3,3,5,1,3,2,4,5,3,4,5,4,5,69
4373,Female,5,5,5,5,5,4,4,3,3,3,4,3,3,2,3,2,3,4,3,69
4399,Male,3,4,4,5,5,4,4,2,2,3,2,2,4,4,4,3,5,5,4,69
4446,Male,5,4,5,5,5,3,3,4,3,4,5,1,3,4,1,3,3,5,3,69
4517,Female,4,4,3,5,3,3,3,2,3,3,5,4,5,4,3,3,4,4,4,69
4564,Male,4,5,5,4,4,4,4,4,2,2,3,1,2,1,4,5,5,5,5,69
4573,Female,1,3,3,3,5,5,5,5,5,5,5,5,5,5,1,1,3,1,3,69
4419,Male,5,5,5,5,5,1,1,1,1,1,5,1,5,5,5,3,5,5,5,69
4761,Male,4,5,5,5,5,3,1,1,3,2,5,3,1,2,4,5,5,5,5,69
4779,Male,5,5,4,5,5,2,3,5,1,2,1,3,5,1,5,5,4,5,3,69
4813,Male,3,2,4,5,5,3,5,3,2,2,3,4,5,1,4,3,5,5,5,69
4943,Female,4,4,4,5,3,5,4,2,3,3,5,3,5,1,3,3,3,4,5,69
4244,Male,3,4,3,5,4,1,1,4,3,2,5,5,5,4,3,3,5,4,4,68
4248,Female,5,5,4,5,5,4,2,3,1,1,3,2,3,2,5,4,5,5,4,68
4393,Female,4,4,4,5,5,3,3,2,1,4,4,3,5,4,3,3,3,4,4,68
4384,Female,5,5,5,5,5,3,2,2,1,1,3,2,3,1,5,5,5,5,5,68
4423,Male,5,5,5,5,5,3,2,1,2,2,5,2,3,2,3,3,5,5,5,68
4450,Female,3,4,3,5,5,3,3,3,2,2,3,4,4,4,4,4,4,4,4,68
4646,Female,4,4,5,4,5,3,3,2,2,3,5,1,5,4,4,2,3,5,4,68
4626,Male,4,5,5,5,5,3,2,2,2,2,4,3,3,1,5,4,4,5,4,68
4681,Male,4,3,3,5,5,5,5,5,4,3,5,5,4,3,3,1,1,3,1,68
4297,Male,3,3,4,5,5,3,3,2,2,2,5,3,5,5,4,3,3,4,4,68
4736,Female,3,5,3,5,5,1,3,1,1,4,5,3,5,5,3,3,5,3,5,68
4729,Female,3,3,4,5,5,2,2,1,1,2,5,1,4,5,5,5,5,5,5,68
4766,Male,5,4,4,5,4,4,2,3,1,2,4,2,3,2,4,4,5,5,5,68
4824,Male,2,3,5,5,4,2,3,3,2,2,4,4,3,4,4,3,5,5,5,68
4800,Male,4,5,5,5,5,1,1,1,1,1,3,4,5,5,4,4,4,5,5,68
4860,Male,4,5,4,4,5,3,3,3,2,2,3,2,4,4,4,3,5,4,4,68
4879F,Female,5,5,3,5,5,3,1,1,2,1,3,4,5,5,2,3,5,5,5,68
4230,Female,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,67
4251,Female,3,4,5,4,5,1,4,2,3,4,3,3,5,4,4,2,3,4,4,67
4367,Female,5,5,5,5,5,5,3,1,1,1,1,1,1,3,5,5,5,5,5,67
4430,Female,4,5,5,5,5,1,1,3,1,1,4,2,4,1,5,5,5,5,5,67
4502,Female,3,4,3,5,5,3,3,3,3,1,5,3,5,4,3,3,3,5,3,67
4558,Male,5,3,4,5,5,4,5,3,1,1,3,1,2,3,3,5,5,5,4,67
4620,Female,4,4,3,5,5,2,3,3,1,2,5,5,5,2,3,3,4,4,4,67
4667,Female,5,5,5,5,5,3,2,2,1,2,3,2,2,2,5,3,5,5,5,67
4786,Male,5,4,3,5,5,4,4,2,3,3,3,3,4,3,3,2,3,4,4,67
4902,Female,5,3,1,5,5,3,1,1,3,3,5,1,5,5,5,5,3,3,5,67
4957,Male,4,3,5,5,5,3,4,2,1,2,3,4,5,4,3,3,4,4,3,67
4932,Male,5,5,5,5,3,1,3,1,1,3,3,1,5,3,5,3,5,5,5,67
4920,Female,3,5,3,5,3,3,3,3,1,3,3,3,5,3,3,5,3,5,5,67
4936,Female,3,5,3,5,3,3,3,3,1,3,3,3,5,3,3,5,3,5,5,67
4254,Female,4,5,3,5,4,3,3,1,2,1,4,3,3,4,3,4,5,5,4,66
4346,Female,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,66
4433,Male,5,5,5,5,5,1,1,1,1,1,5,3,4,1,4,5,5,4,5,66
4535,Female,5,5,5,5,5,3,2,3,2,3,3,2,3,1,5,3,3,5,3,66
4549,Female,4,5,4,3,4,3,2,2,4,3,3,4,3,2,3,3,5,4,5,66
4578,Female,5,5,5,5,5,5,3,3,1,1,3,1,3,2,3,2,4,5,5,66
4585,Male,5,5,5,5,5,3,2,2,1,1,3,2,2,1,5,4,5,5,5,66
4595,Male,4,3,4,4,4,4,2,2,2,3,3,4,4,5,4,3,4,4,3,66
