"ID","Gender","Certificate (2)","Age","FM_Per.ACC","FM_EFF2","SS_ACC","SS_EFF","CB_PerCorrect","CB_EFF","SE_P","PAV","PAp","MG_P","SE_S","TV","MG_S","PostScore","PreScore","FM_EFF_Z","SS_EFF_Z","CB_EFF_Z","Avg_EF","Avg-SALES","Avg_PG"
"4279","Male","IGCSE (British)",13.4620929710308,94.53,59.4,84.26,65.28,50.0,5.91615521933502,0.59474882512831,0.531451250680687,0.25667651651144,0.805626045722252,-0.221534406122318,-0.564703687482485,-0.56156571846263,14.0,24.0,-0.5671713724183154,-0.6985510515632957,-0.6363035355900354,-0.6340086531905488,-0.449267937355811,0.3940638835960635
"4279","Male","IGCSE (British)",13.4620929710308,94.53,59.4,84.26,65.28,50.0,5.91615521933502,0.59474882512831,0.531451250680687,0.25667651651144,0.805626045722252,-0.221534406122318,-0.564703687482485,-0.56156571846263,14.0,24.0,-0.5671713724183154,-0.6985510515632957,-0.6363035355900354,-0.6340086531905488,-0.449267937355811,0.3940638835960635
"4279","Male","IGCSE (British)",13.4620929710308,94.53,59.4,84.26,65.28,71.875,8.5044731277941,0.59474882512831,0.531451250680687,0.25667651651144,0.805626045722252,-0.221534406122318,-0.564703687482485,-0.56156571846263,14.0,24.0,-0.5671713724183154,-0.6985510515632957,0.5126157456288455,-0.2510355594509219,-0.449267937355811,0.3940638835960635
"4284","Female","IGCSE (British)",12.4184220375777,95.31,37.57,83.33,59.88,55.1724137931034,7.38722506393124,-0.965963077554333,-0.255173171722418,-0.144873909562309,-0.890884878927004,-0.432111357093367,-0.74517059718829,-1.10372473541277,6.0,7.0,-1.5534671682388728,-0.8252363138714817,0.01668445439086378,-0.7873396759064969,-0.7603355632314757,-0.2000235406423635
"4286","Female","IGCSE (British)",12.4266412156599,100.0,42.52,93.52,83.47,53.5714285714286,8.71524167946193,-0.902336542085438,-1.63793001644729,-1.4551347001577,-0.590046912466208,-0.749025233030475,-0.946146867562899,-0.895128628286038,11.5,11.5,-1.3298224504508855,-0.2718093994547948,0.6061730525169748,-0.3318195991295685,-0.8634335762931373,-1.546532358302495
"4287","Female","IGCSE (British)",13.172131147541,98.44,67.93,77.78,55.54,62.5,5.82015262768251,-0.118662307750232,-0.733108601344537,-0.352173080687563,0.574954623566854,0.695242171034526,0.764105450375817,0.197217095861354,9.0,7.0,-0.18177956580588464,-0.9270537283932462,-0.6789177864268723,-0.5959170268753343,0.5521882390905657,-0.54264084101605
"4288","Male","American Diploma",14.8265738453477,98.44,82.45,89.81,105.44,71.875,9.73405602105647,0.313237991953559,0.00250707901336394,-0.383072044003127,0.047300453552817,0.36213677567794,0.457304866511678,0.190242720709249,13.0,12.0,0.47424493970554416,0.24361193626943625,1.0584109469482461,0.5920892743077422,0.33656145429962236,-0.19028248249488153
"4289","Female","IGCSE (British)",12.9718466951119,92.97,42.4,43.52,11.79,66.6666666666667,7.44987167596038,-0.550783676892736,0.602947607126387,0.985700986431774,-0.180316421468644,-0.323312321648426,-0.448003137549519,-1.05223436824946,7.0,6.0,-1.3352441405790794,-1.953438955427161,0.04449243741647588,-1.0813968861965881,-0.6078499424824683,0.7943242967790805
"4293","Male","American Diploma",13.120218579235,85.43,58.81,85.12,113.82,39.1304347826087,5.09615933614031,-0.0124702729600786,0.521956177827025,0.965470997800136,0.0106198889142051,-0.476832472299389,-0.384014299963767,-0.480755062271614,8.0,6.0,-0.5938280155486005,0.4402086951847323,-1.0002886077651065,-0.3846359760429916,-0.44720061151159,0.7437135878135805
"4293","Male","American Diploma",13.120218579235,85.43,58.81,85.12,113.82,15.0,1.95352774552045,-0.0124702729600786,0.521956177827025,0.965470997800136,0.0106198889142051,-0.476832472299389,-0.384014299963767,-0.480755062271614,8.0,6.0,-0.5938280155486005,0.4402086951847323,-2.395260228689469,-0.8496265163511124,-0.44720061151159,0.7437135878135805
"4295","Male","IGCSE (British)",13.4209297103077,87.5,83.95,78.7,152.43,50.0,6.64313888312228,0.963611622642143,-0.41636880162102,-0.433555530735956,0.449074040990039,-1.53156270314886,-1.22181633403279,-1.27482610764624,15.0,12.5,0.5420160663079645,1.3460083206882631,-0.313605328493219,0.5248063528343362,-1.3427350482759632,-0.42496216617848803
"4297","Male","Other?",15.2267759562842,86.72,63.48,76.85,66.34,,,-0.429739307135514,0.718970289212795,0.140415495458766,-0.359936301271939,-0.42542549184802,-0.130865043463014,-0.408939806368089,6.0,5.5,-0.3828339080597321,-0.6736832037768739,,,-0.3217434472263743,0.4296928923357805
